"botname","comname","variety","growtype","method","wks_blf","sowdepth","space","life","light","comt1","comt2"
"Allium cyathophorum v farreri","Allium farreri","wine red bells","orn","2 wks @ 68, 4 wks @ 21 F, move to 53 F for germ.",-17,"thin",10,"Perennial","fsun","Delay transplanting for 2 months","one per pot - syn. A. albopilosum"
"Allium carinatum ssp pulchellum","Allium pulchellum","violet or white","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-10,"surf","clump","Perennial","fsun","arching umbels flower 2nd year",
"Dianthus allwoodii","Allwood pinks","pink, white","orn","<2 wks @ 68 F, rapid germ.",-7,"surf",8,"Perennial","psun","keep soil moist, grow cool, 55-58","requires elevated alkaline levels in soil"
"Aster alpinus alba","Alpine aster","white","orn",">2 wks @ 68 F in lite, slow germ.",-9,"surf",10,"Perennial","psha",,"grow cool"
"Solidago multiradiata","Alpine Goldenrod","yellow","orn","<2 wks @ 68 F, rapid germ.",-6,"thin",10,"Perennial","fsun",,
"Arabis alpina","Alpine rockcress","white","orn","<2 wks @ 68 F in lite, rapid germ.",-6,"surf",6,"Perennial","psun","grow cool, 50-55, PM shade",
"Epilobium dodonaei","Alpine willowherb","purple","shrub","6 months @ 39 F, then 72 F",25,"surf",6,"Perennial","fsun","8 to 32""",
"Epilobium fleischeri","Alpine willowherb","purple","orn","6 months @ 39 F, then 72 F",25,"surf",6,"Perennial","fsun","rock garden decumbent","sprd horiz, then grwng upwards"
"Alyssum wulfenianum","Alyssum","white","orn","<2 wks @ 75 F, rapid germ.",-5,"covr",18,"Perennial","psun",,"15 cm"
"Lobularia maritima","Alyssum","Lavender","orn","<2 wks @ 80 F in lite, rapid germ.",-4,"surf",6,"Annual","fsun","ground cover, grows to 2""","grow cool, 50-55"
"Amaranthus sp.  'intense purple'","Amaranth","purple","orn","<2 wks @ 72 F, rapid germ.",-2,"thin",24,"Annual","fsun",,"grow cool"
"Cucumis melo","Ambrosia cantaloupe","yellow","vege","sow outdoors, <2 wks @ 75 F, rapid germ.",1,"covr",24,"Annual","fsun","small fruit will not mature",
"Veratrum viride","Amer. white hellebore","yellowish-green","orn","2-4 wks @ 68 F, 4-6 wks @ 39 , move to 53  for germ.",-18,"thin",6,"Perennial","fsha",,
"Staphylea trifolia","American bladdernut","yellow","shrub","12 wks @ 70 F, 12 wks @ 39 F, move to 70 F, repeat",25,"covr",240,"Perennial","fsun","ephemeral seed, do not allow to dry out","10 x 6 up to 15 x 10 (heighth and width), constantly moist"
"Senna hebecarpa","American wild sensitive plant","yellow","orn","<2 wks @ 68 F, rapid germ.",-6,"thin",36,"Perennial","fsun","good bee plant for the wild garden","syn=Cassia hebecarpa"
"Eryngium amethystinum","Amethyst eryngo","blue","orn","12 wks @ 39 F, move to 68 F for germ.",-13,"thin",15,"Perennial","fsun",,
"Acer ginnala","Amur maple","yellowish white","tree","4 wks @ 75 F, 4 mos @ 39 , then 68 F",-17,"covr",180,"Perennial","fsun","takes more shade than other maples","moist, well drained soil"
"Anaphalis margaritacea","Anaphalis","Pearly everlasting","orn","<2 wks @ 68 F, rapid germ.",-7,"thin",12,"Perennial","psun","Protect from severe cold, needs moist soil","divide clumps every 3 to 4 yrs, grow cool"
"Anthemis rudolphiana","Anthemis","yellow","orn","<2 wks @ 68 F, rapid germ.",-3,"thin",12,"Perennial","fsun","transplant early on - gets weedy in the pot, 30 cm","grow cool"
"Angelica archangelica ssp. archangelica v. majorum","Archangel","white or yel/grn","orn","4wks@68 F, 4wks@39 F, move to 53 F for germ.",-14,"cover",24,"Biennial","fsun","bee plant",
"Sisyrinchium striatum","Argentine Blue-eyed grass","yellow","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-8,"thin",8,"Perennial","fsun",,
"Campanula armeniaca","Armenian bellflower",,"orn","<2 wks @ 68 F in lite, rapid germ.",-7,"surf",24,"Perennial","psha",,
"Armeria juniperifolia","Armeria","syn. A. caespitosa","orn","soak seed, <2 wks @ 68 F, rapid germ.",-7,"surf",10,"Perennial","fsun","grow cool, 50-55, PM shade","light mulch over winter"
"Balsamorhiza sagittata","Arrowleaf balsamroot",,"orn","4 wks @ 39 F, move to 68 F for germ.",-12,"thin",10,"Perennial","fsun",,
"Nepeta subsessilis","Asian catmint","blue","orn","8 wks @ 39 F, move to 68 F for germ.",-7,"thin",15,"Perennial","psun","grow cool, 50-55",
"Erigeron speciosus","Aspen fleabane","Pink","orn","<2 wks @ 68 F in lite, rapid germ.",-6,"thin",10,"Perennial","fsun","2 to 2  ft high",
"Aster farreri","Aster","blue-violet","orn",">2 wks @ 68 F in lite, slow germ.",-6,"surf",10,"Perennial","psun",,"taller rock garden plant"
"Aster tongolensis","Aster","violet-blue","orn",">2 wks @ 68 F in lite, slow germ.",-6,"surf",10,"Perennial","psun",,"rock garden plant"
"Aster umbellatus","Aster","white","orn","3-4 wks @ 68 F in lite, if no germ., 2-4 wks @ 39 , recycle",-6,"surf",10,"Perennial","psun","to 2-8 ft",
"Callistephus chinensis","Aster","Crego mix","orn","<2 wks @ 68 F, rapid germ.",-5,"covr",15,"Annual","fsun","cut flower, grows to 24"", self sows, grow cool","Aster yellows virus spread by leafhoppers"
"Dolichos lignosus","Australian pea",,"orn","soak,  <2 wks @ 68 F, rapid germ.",-1,"covr",6,"Annual","fsun","trellis to 10 ft, pod toxic unless cooked",
"Solidago sphacelata","Autumn goldenrod",,"orn","<2 wks @ 50 F, rapid germ.",-9,"thin",12,"Perennial","fsun",,
"Elaeagnus umbellata","Autumn olive",,"shrub","wash seed, 6 wks @ 72 F, 6-8 wks @ 39 , 4-6 wks @ 50 F, repeat",-15,"covr",132,"Perennial","fsun","15 x 13 ft",
"Nemophilia menziesii","Baby blue eyes","penny black","orn","<2 wks @ 68 F, rapid germ.",-5,"thin",12,"Annual","fsim",,
"Gypsophilia elegans","Baby's breath","improved mix","orn","<2 wks @ 68 F, rapid germ.",-5,"thin",10,"Annual","fsun",,
"Patrinia scabiosifolia","Bai Jiang Cao",,"orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-8,"surf",8,"Perennial","fsun","short lived in dry storage",
"Vernonia baldwinii","Baldwin's ironweed",,"orn","12 wks @ 39 F, move to 68 F slowly for germ.",-12,"thin",10,"Perennial","fsun","sow heavily, mostly empty seeds","prefers moist soil"
"Platycodon grandiflora v. alba","Balloonflower","white","orn","3-4 wks @ 68 Fin lite, if no germ., 2-4 wks @ 39 F, then 68 F ",-6,"surf",8,"Perennial","fsun"," ht=2 to 3 ft","plant in groups"
"Momordica charantia","Balsam pear","yellow","orn","<2 wks @ 68 F, rapid germ.",0,"covr",,"Annual","fsun","vine to 15 ft, zone 9",
"Berberis vulgaris","Barberry",,"shrb","sow outdoors, 2-4 wks @ 68 F, 4-6 wks @ 21 F, move to 53 F for germ.",25,"covr",36,"Perennial","fsun",,
"Centaurea macrocephala","Basket flower","yellow","orn","<2 wks @ 68 F, rapid germ.",-7,"covr",12,"Perennial","fsun","May need staking, feed every spring",
"Centaurea macrocephala","Basket flower","yellow","orn","<2 wks @ 68 F, rapid germ.",-7,"covr",12,"Perennial","fsun","May need staking, feed every spring",
"Alyssum saxatile 'compactum'","Basket of gold","yellow","orn","<2 wks @ 75 F, rapid germ.",-5,"covr",18,"Perennial","psun","blooms second season","25 cm"
"Phaseolus vulgaris L.","Bean, green","derby","vege","sow outdoors, <2 wks @ 68 F, rapid germ.",2,"covr",6,"Annual","fsun","use inoculant",
"Penstemon barbatus","Beardlip penstemon","pink to red","orn","Sow barely covered 8 wks   @ 40 F (4 C), move to 70 F for germ. under light.",-18,"thin",8,"Perennial","psun",,
"Kolkwitzia amabilis","Beautybush","pink","shrub","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 ",-6,"thin",120,"Perennial","fsun","6x6', well drained",
"Beta vulgaris","Beet","Cylindra","vege","sow outdoors, <2 wks @ 72 F, rapid germ.",-4,"covr",8,"Annual","fsun","transplant to deep loam, grow cool","keep root crowns hilled"
"Campanula alliarifolia","Bellflower","white","orn","12 wks @ 39 F, move to 68 F for germ.",-12,"surf",24,"Perennial","psha",,
"Penstemon campanulatus","Bellflower beardtongue","light violet","orn","Sow barely   covered 8 wks @ 40 F (4 C), move to 50 F under light, if no germ. in 4 wks, move to 60 F",-18,"thin",8,"Perennial","fsun","zone 7 to 8","all penstemons prefer dry soil"
"Moluccella laevis","Bells of Ireland",,"orn","2 wks @ 39 F, 3 wks @ 68 F in lite",-12,"surf",8,"Annual","fsun","grow cool","dislikes transplanting"
"Monarda x hybrida 'lambada'","Bergamot hybrid lambada","purple","orn","2 wks @ 39 , move to 60 F",-9,"surf",12,"Perennial","psha","2.5 ft high","prefer moist soils"
"Bergenia crassifolia","Bergenia","purple-rose","orn","<2 wks @ 75 F, rapid germ.",-6,"thin",12,"Perennial","fsha",,
"Berlandiera lyrata","Berlandiera","yellow","orn",">2 wks @ 68 F, slow germ.",-6,"thin",8,"Perennial","fsun","cover thin, grow cool","flower is chocolate scented"
"Carex bicknelli","Bicknell's sedge",,"grass","3-4 wks @ 68 F, if no germ. 2-4 wks @ 39 F, then 68 F",-8,"covr","clump",,,,
"Andropogon gerardi","Big Bluestem ","turkey foot","grass",">2 wks @ 68 F, slow germ.",-4,"thin","clump","Perennial","fsun","3 to 5 foot, purplish, A - O bloom","zone 4"
"Gilia tricolor","Birds eyes","lavender & cream","orn","<2 wks @ 68 F, rapid germ.",-3,"thin",6,"Herbaceous","fsun",,
"Lotus corniculatus","Birdsfoot trefoil","yellow","orn","<2 wks @ 68 F, rapid germ.",-3,"thin",6,"Perennial","fsun","procumbent creeper",
"Pennisetum alopecuroides 'moudry'","Black flowered pennisetum",,"grass",">2 wks @ 68 F, 20+ days germ.",-6,"thin",10,"Perennial","fsun","moist, rich soil","zone 6"
"Cimicifuga racemosa","Black snake root","white","herb","16 wks @ 68 F, move to 39  indefinitely",-18,"covr",26,"Perennial","psha","3 to 6 ft high, deep loamy soil",
"Rudbeckia hirta","Black-eyed susan","yellow","orn","<2 wks @ 72 F in lite, rapid germ.",-2,"surf",12,"Annual","fsun","best to treat as an annual","grow cool, 50"
"Thunbergia alata","Black-eyed susan vine","gold/purple eye","vine","<2 wks @ 68 F, rapid germ.",0,"covr",10,"Annual","fsun","for trellis or hanging basket, zone 10",
"Physalis alkekengi","Bladder cherry",,"orn","WC 7d, <2 wks @ 68 F, rapid germ.",-5,"thin",10,"Perennial","fsun",,
"Gaillardia aristata 'goblin'","Blanket flower","red/yellow","orn","<2 wks @ 73 F in lite, rapid germ.",-9,"surf",12,"Perennial","fsun",,"grow cool, 55-60"
"Gaillardia lorenziana","Blanketflower","double mix","orn",">2 wks @ 73 F in lite, slow germ.",-9,"surf",12,"Perennial","fsun"," to 2 ft","grow cool, 55-60"
"Dicentra spectabilis alba","Bleeding heart","white","orn","3 mos @ 39 F, move to 70 F",-18,"surf",12,"Perennial","psha","short lived seed, will not tolerate dry storage.",
"Silybum marianum v. sily","Blessed milkthistle","blue","orn","<2 wks @ 68 F, rapid germ., may benefit from kno3",-3,"thin",12,"Annual","fsun",,
"Geranium sanguineum","Bloody cranesbill","scarlet","orn","sow outdoors, <2 wks @ 55 F, rapid germ.",-9,"thin",12,"Perennial","fsun","prefers sand or gravel",
"Agastache foeniculum 'blue spike'","Blue  hyssop","clear blue","orn","<2 wks @ 68 F, rapid germ.",-6,"thin",10,"Perennial","fsun",,
"Nolana paradoxa","Blue bird","blue","orn","<2 wks @ 68 F, rapid germ.",-2,"thin",4,"Annual","fsun","6 - 8 inches, creeping succulent stems",
"Papaver somniferum","Blue bread seed poppy","violet","orn","sow outdoors, <2 wks @ 60 F in dark, rapid germ.",-1,"covr",6,"Annual","fsun",,
"Trichostema dichotoma","Blue curls",,"orn","<2 wks @ 68 F, rapid germ.",-3,"thin",10,"Perennial","fsun",,
"Festuca glauca","Blue fescue",,"grass","<2 wks @ 68 F, rapid germ.",-5,"thin","clump","Perennial","psun","moist, well drained soil","edging or pot plant, zone 4"
"Linum perenne lewisia","Blue flax","blue","orn","<2 wks @ 68 F, rapid germ.",0,"covr",6,"Perennial","fsun",,
"Agastache foeniculum","Blue giant hyssop","licorice blue","orn","<2 wks @ 68 F, rapid germ.",-6,"thin",10,"Perennial","fsun",,
"Echinops ritro 'veitch blue'","Blue globe thistle","ice blue","orn","<2 wks @ 68 F, rapid germ.",-4,"thin",10,"Perennial","fsun",,
"Bouteloua gracilus","Blue gramma",,"grass","<2 wks @ 68 F, rapid germ., 6d",-6,"covr","clump","Perennial","fsun",,"zone 3, 8 to 24 inches"
"Eupatorium coelestinum","Blue mistflower","blue","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F in lite",-5,"surf",12,"Perennial","fsun",,
"Sesleria caerulea","Blue moor grass",,"grass","sow @ 39 F, erratic, many months",-13,"covr","clump","Perennial","fsun","moist, rich soil, well drained","zone 5"
"Helictotrichon sempervirens","Blue oat grass",,"grass",,,,"clump","Perennial","psha","well drained fertile soil","zone 4, plant in open air"
"Carex glauca","Blue sedge",,"grass","3-4 wks @ 68 F, if no germ. 2-4 wks @ 39 F, then 68 F",-8,"covr","clump","Perennial","fsun","moist, fertile loam","zone 5"
"Amsonia illustris","Blue star","blue","orn","6 wks @ 39 F, then @ 68 F, germ. erratic,  many months",-12,"surf",6,"Perennial","fsun",,
"Baptisia australis","Blue wild indigo","blue","orn","soak seed, <2 wks @ 68 F, rapid germ.",-8,"covr",24,"Perennial","fsun","prefers slightly acid dry soil","very sensitive to damping off & transplanting"
"Sisyrinchium angustifolium","Blue-eyed grass","blue","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-10,"thin",6,"Perennial","fsun",,
"Caryopteris bungeii","Bluebeard","blue","shrub","<2 wks @ 68 F in lite, rapid germ.",-12,"surf",12,"Perennial","fsun","Seed deteriorates in dry storage","allow to self sow or sow at once"
"Caryopteris incana","Bluebeard","blue mist","shrub","<2 wks @ 68 F in lite, rapid germ.",-12,"surf",12,"Perennial","fsun","Seed deteriorates in dry storage","allow to self sow or sow at once"
"Passiflora caerulea","Bluecrown passionflower","blue","vine","soak 24 hrs, sow @ 70 F for germ. in 14 to 21 days",-5,"covr",24,"Herbaceous","psun","6 mo. storage life",
"Eupatorium perfoliatum","Boneset",,"orn","<2 wks @ 68 F in lite, rapid germ.",-5,"surf",12,"Perennial","fsun",,
"Borago officinalis","Borage","blue","herb","sow outdoors, <2 wks @ 68 F in dark, rapid germ.",3,"covr",15,"Annual","fsun","well drained soil, grow cool",
"Hystrix patula","Bottle brush grass",,"grass",">2 wks @ 68 F, slow germ",-6,"cover","clump","Perennial","psha","moist, well drained soil","zone 5"
"Gentiana andrewsii","Bottle gentian",,"orn","sow outdoors, 2-4 wks @ 68 F, 4-6 mths @ 21 F, move to 53 F for germ. in lite",25,"surf",8,"Perennial","psun","or sow in fall, coddle plants for 1 to 3 yrs","see native americans writeup"
"Lychnis cognata","Brilliant campion","orange","orn","<2 wks @ 68 F in lite, rapid germ.",-8,"surf",10,"Annual","fsun","grow cool, 50",
"Veronica austriaca","Broadleaf speedwell","knallblau","orn","<2 wks @ 68 F in lite, rapid germ.",-6,"surf",12,"Perennial","fsun","erect, tending toward decumbent","grow cool, 55"
"Brassica oleracea v. italica","Broccoli","packman hyb","vege","sow outdoors, <2 wks @ 68 F, rapid germ.",7,"covr",24,"Annual","fsun",,"grow cool, 50-60"
"Foeniculum vulgare 'purpureum'","Bronze fennel","yellow","herb","<2 wks @ 68 F in dark, rapid germ.",-1,"covr",18,"Annual","fsun","grow cool, 55-60 F",
"Centaurea jacea","Brownray knapweed","white","orn","<2 wks @ 68 F in darkness, rapid germ.",-6,"thin",8,"Perennial","fsun",,
"Lycopus virginicus","Bugleweed",,"orn","6 wks @ 39 F, move to 68 F for germ.",-12,"surf",12,"Perennial","fsun",,
"Pimpinella saxifraga","Burnet saxifrage","white","orn","<2 wks @ 68 F, rapid germ.",-7,"thin",8,"Perennial","fsun",,
"Dictamnus ruber","Burning Bush","pink/purple","orn","6 wks @ 39 F, 1 to 6 months @ 55 F",25,"covr",36,"Perennial","psun","2nd spring - transplant to 12"" apart","3rd spring - trans to permanent loc. 3ft x 3ft"
"Kochia scoparia","Burning bush",,"orn","<2 wks @ 68 F, rapid germ.",-7,"surf",15,"Annual","fsun","3 ft. high",
"Lespedeza thunbergii","Bush clover",,"herb","nick coat, <2 wks @ 68 F, rapid germ. ",-6,"thin",12,"Perennial","fsun","do not try to transplant after established",
"Ipomoea leptophylla","Bush morning glory",,"orn","<2 wks @ 68 F, rapid germ.",-4,"thin",10,"Annual","fsun","needs sandy soil","great plains native"
"Penstemon fruticosus","Bush penstemon","pale lavender","orn","Sow under thin cover 8   wks @ 40 F (4 C), move to 50 F for germ.",-18,"thin",12,"Perennial","psun","16""x18"", decumbent, protect from PM sun","rock garden plant, cover in the winter"
"Asclepias tuberosa","Butterfly milkweed","orange","orn","4 wks @ 39 F in moist sand, move to 68 F for germ.",-10,"thin",10,"Perennial","fsun","needs well drained dry soil, tolerates drought","examine every week for aphids, grow cool"
"Cephalanthus occidentalis","Button bush",,"orn","<2 wks @ 68 F, rapid germ.",-6,"thin",120,"Perennial","fsun","wetlands and swampy places, up to 12 ft.",
"Brassica oleracea ","Cabbage","Flowering","orn","<2 wks @ 68 F, rapid germ.",9,"covr",18,"Herbaceous","fsun","Rotate crop area","grow cool, 50-60"
"Brassica oleracea v. capitata","Cabbage","stonehead hyb","vege","<2 wks @ 68 F, rapid germ.",9,"covr",36,"Annual","fsun",,"grow cool, 50-60"
"Aster lateriflorus  'horizontalis'","Calico asster","mauve/wine","orn",">2 wks @ 68 F in lite, slow germ.",-9,"surf",24,"Perennial","psun",,
"Eschscholzia californica","California poppy","white","orn","sow outdoors in the fall for spring germ.",25,"thin",6,"Annual","fsun","cool weather plant, sow in fall",
"Calliopsis bicolor","Calliopsis","Mahoghany midget","orn","sow outdoors, <2 wks @ 55 F, rapid germ.",-1,"covr",10,"Annual","fsun",,
"Silene asterias","Campion","red","orn","<2 wks @ 75 F, rapid germ.",-2,"thin",10,"Perennial","psha","Silenes do not like heavy soils, 6"" tall","plant in only average soil"
"Solidago canadensis","Canada goldenrod","yellow","orn","<2 wks @ 50 F, rapid germ.",-9,"thin",12,"Perennial","fsun","to 8 ft tall, zone 3, A - O bloom","sow heavily as only 5% of seeds develop"
"Elymus canadensis","Canada wild rye",,"grass","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-8,"covr","clump","Perennial","fsun",,
"Astragalus canadensis","Canadian milkvetch","yellow","orn","nick and soak, <2 wks @ 68 F, rapid germ.",-12,"thin",12,"Perennial","fsun",,"sow own pots to avoid allellopathic effect"
"Phalaris canariensis","Canary grass",,"grass","<2 wks @ 68 F, rapid germ.",0,"covr","clump","Annual","fsun","cut flower while green, or after brown & dry","grow cool, tolerant"
"Delphinium elatum","Candle larkspur","royal aspirations","orn","<2 wks @ 68 F, rapid germ.",-4,"thin",15,"Perennial","fsun","moist alkaline soil, short lived, PM shade","does not like hard soils"
"Iberis sempervirens","Candytuft","white","orn","<2 wks @ 63 F in lite, rapid germ.",-9,"surf",12,"Perennial","psun","fertilize every spring, grow cool, 50",
"Campanula medium","Canterbury bells","mixed","orn","<2 wks @ 68 F in lite, rapid germ.",-7,"surf",12,"Biennial","psha","to zone 8, start ins in fall, hold over ins during winter",
"Anchusa capensis","Cape bugloss","br. ultramarine","orn",">2 wks @ 68 F, slow germ.",-6,"surf",12,"Annual","fsun","to 1 ft.",
"Carum carvi","Caraway","white","herb","sow outdoors, >2 wks @ 68 F, slow germ.",10,"covr",14,"Biennial","fsun","requires cage",
"Lobelia cardinalis","Cardinal flower","red","orn","<2 wks @ 75 F in lite, rapid germ.",-8,"surf",6,"Perennial","fsun","moist soil",
"Calycanthus floridus","Carolina allspice","white","shrub","12 wks @ 39 F, move to 68 F for erratic germ.",-12,"covr",72,"Perennial","fsun","can be sown outdoors in December","6to9' high x 6to12' spread"
"Ricinus communis 'carmencita'","Castor bean","red","orn","soak seed, <2 wks @ 60 F, rapid germ.",-6,"covr",36,"Annual","fsun",,
"Thalictrum heliophilum","Cathedral Bluff meadow rue",,"orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-10,"thin",6,"Perennial","fsun","3 to 4 ft high, well drained soil","germination low and sporadic."
"Nepeta mussinii","Catmint","blue","orn","<2 wks @ 68 F in dark, rapid germ.",-7,"thin",15,"Perennial","psun","grow cool, 50-55",
"Nepeta cataria","Catnip","white","herb","<2 wks @ 68 F in dark, rapid germ.",-7,"thin",15,"Perennial","psun","grow cool, 50-55",
"Brassica oleracea v. botrytis","Cauliflower","snow crown hyb","vege","<2 wks @ 68 F, rapid germ.",7,"covr",30,"Herbaceous","fsun",,"grow cool, 50-60"
"Apium graveolens var.","Celeriac",,"vege","3 days damp paper towel, sow outside if nite > 55 F",-5,"thin",12,"Biennial","fsun",,
"Cephalaria gigantea","Cephalaria","light yellow","orn","3-4 wks @ 60 F, if no germ., 6 wks @ 39 F, then 60 F ",-8,"thin",12,"Perennial","fsun","to 6 x 4 ft",
"Cephalaria leucantha","Cephalaria","white","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-8,"thin",12,"Perennial","fsun","to 6 ft, wild garden",
"Chamaemelum nobile","Chamomile","Roman","herb","<2 wks @ 68 F, rapid germ.",0,"covr","clump","Perennial","fsun",,
"Vitex agnus-castus","Chastetree","white","shrub","3m @ 70 F, move to 70 F in lite for germ. in 6-17 days",-18,"covr",48,"Perennial","fsun","zone 6",
"Heliotropium arborescens","Cherry pie plant","purple","orn","<2 wks @ 68 F, rapid germ.",-3,"thin",12,"Herbaceous perennial","fsun","to 2 ft high",
"Anthriscus cerefolium","Chervil","white","herb","2-4 wks @ 68 F, 4-6 wks @ 39 , move to 53  for germ.",-18,"thin",12,"Annual","fsun",,
"Eccremocarpus scaber aureus","Chilean glory flower","gold","vine",">2 wks @ 60 F, 21-60 days germ.",-6,"thin","clump","Herbaceous perennial","fsun","climber, 6-10 ft",
"Brassica rapa ""michihli""","Chinese cabbage","jade pagoda","vege","<2 wks @ 68 F, rapid germ.",12,"covr",24,"Herbaceous","fsun","sow seed July 15th","grow cool, 50-60"
"Cynoglossum officinale","Chinese forget me not","purple-blue","orn","Sow @ 39 F, germ. erratic, often one year",-4,"covr",12,"Perennial","fsun",,
"Pennisetum alopecuroides","Chinese fountaingrass",,"grass","<2 wks @ 68 F, rapid germ.",-6,"thin",5,"Perennial","fsun","moist, rich soil","zone 6"
"Incarvillea delavayi","Chinese trumpet flower","pink/yel throat","orn","<2 wks @ 68 F, rapid germ.",-4,"thin",12,"Herbaceous perennial","fsun","give winter protection","May be I. compacta"
"Allium schoenoprasum","Chives","blue","herb","sow outdoors, <2 wks @ 68 F, rapid germ.",-1,"covr","clump","Perennial","psun","grow cool",
"Solanum hendersonii 'New Patterson'","Christmas cherry","white","orn","<2 wks @ 68 F, rapid germ.",-3,"thin",6,"Annual","fsun",,
"Agrimonia eupatoria","Church steeples","yellow","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-8,"covr",12,"Perennial","fsun",,
"Potentilla atrosanguinea","Cinquefoil","red","orn","<2 wks @ 68 F in lite, rapid germ.",-6,"surf",6,"Perennial","fsun","Demands full sun and sharp drainage","Don't overwater seedlings"
"Potentilla megalantha","Cinquefoil","bright yellow","orn","<2 wks @ 68 F in lite, rapid germ.",-6,"surf",6,"Perennial","fsun","Demands full sun and sharp drainage","Don't overwater seedlings"
"Lychnis viscaria 'plena'","Clammy campion","pink","orn","<2 wks @ 68 F in lite, rapid germ.",-9,"surf",8,"Perennial","fsun","20-30 cm",
"Clarkia elegans","Clarkia","apple blossom","orn","<2 wks @ 68 F, rapid germ.",-3,"thin",8,"Annual","fsun","to 20 inches",
"Salvia sclarea","Clary sage","pinkish blue","herb","3-4 wks @ 68 Fin lite, if no germ., 2-4 wks @ 39 F, then 68 F ",-3,"surf",15,"Biennial","psun","2 to 3 ft high, flower second year",
"Cleome hasslerana","Cleome","purple","orn","surface sow outdoors in the fall for spring germ.",25,"surf",20,"Annual","fsun","grow warm, 70-75",
"Codonopsis clematidea","Climbing bellflower","soft blue","orn","3-4 wks @ 68 F, if no germ., 2-4 wks @ 39 F, then 68 F ",-10,"thin",6,"Perennial","fsun","rock garden","means clematis-like"
"Mikania scandens","Climbing boneset","white/pink","orn","<2 wks @ 72 F, rapid germ.",-3,"thin",10,"Annual","fsun",,
"Begonia cucullata","Clubed begonia","All around white","orn","<2 wks @ 79 F in lite, rapid germ.",-10,"surf",12,"Annual","psha","Night temps must not fall below 60  after germ.","needs 14 to 18 hours of light per day"
"Campanula glomerata","Clustered bellflower","purple","orn","<2 wks @ 68 F in lite, rapid germ.",-7,"surf",18,"Perennial","psha","moist soil - fertilize in spring","protect from severe winters"
"Aquilegia vulgaris","Columbine","pink, short spur","orn","8 wks @ 39 F, move to 68 F in lite for germ. ",-18,"surf",12,"Perennial","psha","grow cool, 50-55",
"Aquilegia vulgaris plena","Columbine","Nora barlow R/Y","orn","8 wks @ 39 F, move to 68 F in lite for germ. ",-12,"surf",12,"Perennial","psha","grow cool, 50-55",
"Thalictrum aquilegifolium","Columbine meadowrue","pink/white","orn","4-8 wks @ 39 F, move to 68 F for germ.",-15,"covr",12,"Perennial","psha","3 to 4 ft high, well drained soil","germination low and sporadic."
"Coleus scutellarioides","Common coleus","Rainbow mix - selected color","orn","<2 wks @ 75 F in lite, rapid germ.",-11,"surf",12,"Annual","psha","moist soil but subject to damping off","pinch"
